{EU} {GB} {AU} {NZ} {US} {CA} {JN} {NO} {SW} London EOD OIS Run — 31-Aug-26

{AU} RBA Run   (RBA cash 3.850 rebased)
StartDate      Mid  Priced   Step    Δ1d    Δ1w    Δ1m
13-Oct-26    3.750   -10.0      —   +4.0   +4.0   +4.0
24-Nov-26    3.650   -20.0  -10.0   +4.0   +4.0   +4.0
05-Jan-27    3.600   -25.0   -5.0   +4.0   +4.0   +4.0

{NZ} RBNZ Run   (NZ OCR 3.250 rebased)
StartDate      Mid  Priced   Step    Δ1d    Δ1w    Δ1m
20-Oct-26    3.350   +10.0      —   +4.0   +4.0   +4.0
08-Dec-26    3.420   +17.0   +7.0   +4.0   +4.0   +4.0
26-Jan-27    3.450   +20.0   +3.0   +4.0   +4.0   +4.0
